gene_id	gene_short_name	halflife_160412_r1	halflife_160412_r2
YBR159W	IFA38	5.576346343	5.745770372
YBR160W	CDC28	3.611052644	3.672127933
YBR161W	CSH1	2.811293304	3.124068062
YBR162C	TOS1	8.210134687	8.726475116
YBR162W-A	YSY6	9.682516125	7.554429979
YBR163W	EXO5	2.329534691	2.260680472
YBR164C	ARL1	6.610735499	9.03806247
YBR165W	UBS1	1.793419296	3.399549754
YBR166C	TYR1	3.295161808	5.771293143
YBR167C	POP7	2.973987572	3.338764118
YBR168W	PEX32	2.387230776	2.100666335
YBR169C	SSE2	8.235421402	10.76792194
YBR170C	NPL4	4.741770453	5.072988708
YBR171W	SEC66	3.684195848	5.293606844
YBR172C	SMY2	0.748244272	1.087882896
YBR173C	UMP1	8.893238463	12.66206204
YBR174C	YBR174C	NA	NA
YBR175W	SWD3	3.0189297	3.553434477
YBR176W	ECM31	3.603560966	5.971766346
YBR177C	EHT1	7.464553723	9.089204173
YBR178W	YBR178W	NA	NA
YBR179C	FZO1	2.626013399	2.808828041
YBR180W	DTR1	NA	NA
YBR181C	RPS6B	15.4430235	14.48989162
YBR182C	SMP1	NA	NA
YBR182C-A	YBR182C-A	NA	NA
YBR183W	YPC1	4.579625832	7.663516632
YBR184W	YBR184W	NA	NA
YBR185C	MBA1	3.655634067	6.27098747
YBR186W	PCH2	3.561409573	2.107492152
YBR187W	GDT1	4.318743436	5.078922015
YBR188C	NTC20	2.886108113	7.338896319
YBR189W	RPS9B	11.84969357	10.27272955
YBR190W	YBR190W	NA	NA
YBR191W	RPL21A	18.73484873	16.99968252
YBR191W-A	YBR191W-A	10.62819768	19.35934518
YBR192W	RIM2	3.849525079	3.390720112
YBR193C	MED8	3.145841526	6.083039701
YBR194W	AIM4	4.781324879	2.685180045
YBR195C	MSI1	1.831753146	2.377318717
YBR196C	PGI1	13.36021612	14.53787314
YBR196C-A	YBR196C-A	NA	NA
YBR196C-B	YBR196C-B	3.646243184	NA
YBR197C	YBR197C	3.004789643	3.105292635
YBR198C	TAF5	2.399747704	3.2198492
YBR199W	KTR4	3.795678258	4.490736432
YBR200W	BEM1	3.408223567	3.525665538
YBR200W-A	YBR200W-A	3.646249478	NA
YBR201C-A	YBR201C-A	NA	1.672354303
YBR201W	DER1	2.908928198	3.006177714
YBR202W	MCM7	2.095342746	2.462696892
YBR203W	COS111	1.341781836	1.468718168
YBR204C	LDH1	4.722802199	4.272230186
YBR205W	KTR3	7.583244588	8.910765931
YBR206W	YBR206W	5.846422527	8.738403166
YBR207W	FTH1	2.576858091	3.147508345
YBR208C	"DUR1,2"	4.671999754	6.4445837
YBR209W	YBR209W	NA	NA
